"Country","Index.Year","capi","art","capcorr","labor","gdp","Overall.Score"
"Peru",2013,50899015840.3404,16673246,25.3007969740008,667.12,6746.80025696601,"68.2"
"Peru",2014,49273980959.7879,16746275,24.5405155067793,745.61,6667.13410360861,"67.4"
"Peru",2015,43822789508.6073,16759049,23.0885681385006,899.29,6231.71150338894,"67.7"
"Peru",2016,41156280980.9124,16939632,21.4469450397426,1071.41,6217.03599995447,"67.4"
"Peru",2017,43483674836.4049,17644346,20.607596923788,1389.87,6736.16693725487,"68.9"
"Peru",2018,46574533036.0862,18124121,20.9232518849407,1700.86,6978.49121548627,"68.7"
"Peru",2019,47887740109.2188,18599717,20.9715689568285,2332.04,7037.00803692604,"67.8"
"Peru",2020,40164054271.5886,16861243,19.9414702059197,2892.98,6133.32552410183,"67.9"
"Peru",2021,52259806202.9288,17853296,23.0876158382477,4064.96,6826.9720069846,"67.7"
"Peru",2022,57287517851.1783,18756175,23.2414323478916,4584.96,7363.27206939639,"66.5"
